2020-07-17 10:53:16.601 [main] INFO  com.cloud.sso.CloudPlatformSsoApplication - Starting CloudPlatformSsoApplication on TengYunDongdeMacBook-Pro.local with PID 4071 (/Users/TYD/workplace/self_workplace/cloud-platform-sso/target/classes started by TYD in /Users/TYD/workplace/self_workplace/cloud-platform-sso)
2020-07-17 10:53:16.604 [main] INFO  com.cloud.sso.CloudPlatformSsoApplication - The following profiles are active: dev
2020-07-17 10:53:18.960 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-17 10:53:18.973 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-17 10:53:18.974 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-17 10:53:18.974 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-17 10:53:19.075 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-17 10:53:19.076 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2280 ms
2020-07-17 10:53:19.359 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-17 11:14:01.344 [main] INFO  com.cloud.sso.CloudPlatformSsoApplication - Starting CloudPlatformSsoApplication on TengYunDongdeMacBook-Pro.local with PID 4328 (/Users/TYD/workplace/self_workplace/cloud-platform-sso/target/classes started by TYD in /Users/TYD/workplace/self_workplace/cloud-platform-sso)
2020-07-17 11:14:01.347 [main] INFO  com.cloud.sso.CloudPlatformSsoApplication - The following profiles are active: dev
2020-07-17 11:14:04.239 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-17 11:14:04.254 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-17 11:14:04.255 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-17 11:14:04.255 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-17 11:14:04.370 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-17 11:14:04.370 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2923 ms
2020-07-17 11:14:04.577 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-17 11:14:25.096 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 46cdccd6-e3a8-461e-96c1-beab37b7f7a4

2020-07-17 11:14:25.293 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5489b1f7, org.springframework.security.web.context.SecurityContextPersistenceFilter@63f855b, org.springframework.security.web.header.HeaderWriterFilter@4cfa83f9, org.springframework.security.web.csrf.CsrfFilter@39c85c1a, org.springframework.security.web.authentication.logout.LogoutFilter@5f59ea8c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1c52552f, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@57a6a933, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4faf104, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@9c93d16, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4cffcc61, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6baf25d7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5995851e, org.springframework.security.web.session.SessionManagementFilter@4c5a2baf, org.springframework.security.web.access.ExceptionTranslationFilter@4087c7fc, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3d299393]
2020-07-17 11:14:25.373 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-17 11:14:25.478 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-17 11:14:25.502 [main] INFO  com.cloud.sso.CloudPlatformSsoApplication - Started CloudPlatformSsoApplication in 44.954 seconds (JVM running for 51.336)
2020-07-17 11:22:44.696 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
